Test ID,(flesh out later),Testing Metrics,,,,,,,,,,,,Training Metrics,,,,,,,,,,,,General Performance Metrics,,,Model Parameters,,,,,,,,,,,,,,,,,,,,Metadata
,Composite Score,MCC,AUC-PR,AUC-ROC,F1-Score,Precision,Recall,Log Loss,Accuracy,TP,TN,FP,FN,MCC,AUC-PR,AUC-ROC,F1-Score,Precision,Recall,Log Loss,Accuracy,TP,FP,FN,TN,Training Time (s),MCC GenRatio,Performance Summary,Archetype,Threshold,Train Type,Train Split,% of Data Used,Features,Scaler,Learning Rate,n Estimators,Max Depth,Max Iterations,Kernel,C,Min Samples Split,Min Samples Leaf,Boosting Type,Num Leaves,Neural Architecture,Activation,Solver,
1,77.3,0.635,0.815,0.927,0.717,77.5%,66.6%,0.294,86.9%,"15,192","64,323","4,408","7,609",0.638,0.819,0.927,0.720,77.7%,67.0%,0.292,87.0%,"61,205","257,201","17,567","30,152",7.0,0.995,test1.png,XGBoost,50.0%,Rapid,80.0%,N/A,Anterior,None,0.1,100,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"0.6348493121610759, 0.8153148377162349, 0.9267607445370339, 0.7165868729511095, 0.7751020408163265, 0.6662865663786676, 0.2935273493930671, 0.8687125813923, 15192, 64323, 4408, 7609, 0.638186020770208, 0.8188176918403286, 0.9273777584589548, 0.7195128402565112, 0.7769892855329305, 0.6699541359720657, 0.29249770120096147, 0.8696647319904405, 61205, 257201, 17567, 30152, 6.983367204666138"
2,74.4,0.583,0.806,0.913,0.674,76.1%,65.9%,0.340,84.8%,"7,352","31,981","2,435","3,998",0.666,0.837,0.937,0.741,79.5%,69.4%,0.277,88.0%,"779,647","3,206,555","200,629","344,003",123.8,0.876,test2.png,XGBoost,50.0%,Cross-Validation,N/A,10.0%,Anterior,None,0.1,100,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"0.5831279491075695, 0.8055067979333345, 0.9128823149647849, 0.673514614023443, 0.7608652893209773, 0.6590556482462994, 0.3403231243949311, 0.8481768188403234, 7352, 31981, 2435, 3998, 0.6659504924082776, 0.8373364120292566, 0.9365670097442583, 0.7411325243657153, 0.7953364047130972, 0.6938508737577878, 0.2770711754399403, 0.8797935931982515, 779647, 3206555, 200629, 344003, 123.80314683914185"
3,35.1,0.086,0.448,0.756,0.115,43.7%,6.6%,0.513,74.5%,"1,515","66,709","1,953","21,355",0.076,0.443,0.755,0.110,41.3%,6.3%,0.515,74.4%,"5,790","266,618","8,219","85,498",1.7,1.134,test3.png,Logistic Regressor,50.0%,Rapid,80.0%,N/A,Anterior,None,N/A,N/A,N/A,1000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"0.08571323509529129, 0.4475156406548777, 0.7560107905245159, 0.11504290378920191, 0.43685121107266434, 0.06624398775688675, 0.5133750956460665, 0.7453568151029148, 1515, 66709, 1953, 21355, 0.07559800730766936, 0.44311161373916486, 0.7548337536341883, 0.10997464315222656, 0.4133057320294097, 0.06342564192445886, 0.5146435510242965, 0.7440300443837488, 5790, 266618, 8219, 85498, 1.6986570358276367"
4,69.9,0.566,0.704,0.855,0.671,68.3%,65.9%,0.381,84.1%,"14,857","62,091","6,911","7,673",0.570,0.713,0.857,0.675,69.0%,66.1%,0.381,84.1%,"60,528","247,328","27,169","31,100",1.6,0.993,test4.png,Decision Tree,50.0%,Rapid,80.0%,N/A,Anterior,None,N/A,N/A,4,N/A,N/A,N/A,5,3,N/A,N/A,N/A,N/A,N/A,"0.5658641281214974, 0.7040751708738572, 0.8546811511011607, 0.6707752042981625, 0.6825156192576258, 0.6594318686196183, 0.3808809011787214, 0.8406677446139055, 14857, 62091, 6911, 7673, 0.5699888519075057, 0.7131844346922261, 0.8568488060906134, 0.6750648264324551, 0.6901946474793893, 0.6605841009298468, 0.3808607742141476, 0.8408494366678048, 60528, 247328, 27169, 31100, 1.58042311668396"
5,30.4,0.000,0.448,0.770,0.000,0.0%,0.0%,0.540,75.1%,0,"326,333",0,"108,442",0.000,0.456,0.774,0.000,0.0%,0.0%,0.538,75.0%,0,"17,166",0,"5,716",93.5,0.000,test5.png,Support Vector Machine,50.0%,Rapid,5.0%,N/A,Anterior,None,N/A,N/A,N/A,N/A,Linear,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"0.0, 0.44779537607350156, 0.7699747500822435, 0.0, 0.0, 0.0, 0.5403116174285956, 0.7505790351331149, 0, 326333, 0, 108442, 0.0, 0.45571979881778246, 0.7741722310290484, 0.0, 0.0, 0.0, 0.5379203326010772, 0.75019666113102, 0, 17166, 0, 5716, 93.47387909889221"
6,62.6,0.458,0.668,0.844,0.536,73.2%,42.3%,0.424,81.7%,"47,268","319,370","17,307","64,559",0.465,0.684,0.841,0.543,74.5%,42.7%,0.429,81.7%,996,"6,481",341,"1,335",37.0,0.983,test6.png,Support Vector Machine,50.0%,Rapid,2.0%,N/A,Anterior,None,N/A,N/A,N/A,N/A,Polynomial,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"0.4575386315462265, 0.6684490403807857, 0.8436911798425856, 0.5359122912438635, 0.73198606271777, 0.4226886172391283, 0.4242100018629179, 0.8174687405240533, 47268, 319370, 17307, 64559, 0.46543042351086883, 0.6837072679395197, 0.8405362266400086, 0.5430752453653216, 0.7449513836948392, 0.4272844272844273, 0.42883314917078774, 0.816890636949634, 996, 6481, 341, 1335, 37.04491591453552"
7,56.5,0.369,0.658,0.841,0.393,77.2%,26.4%,0.431,79.7%,"29,524","327,864","8,732","82,384",0.356,0.653,0.836,0.374,76.9%,24.7%,0.431,79.7%,556,"6,736",167,"1,694",137.9,1.036,test7.png,Support Vector Machine,50.0%,Rapid,2.0%,N/A,Anterior,None,N/A,N/A,N/A,N/A,Radial Basis,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"0.3685302991597557, 0.658133270337587, 0.8405925115262408, 0.3932234090727471, 0.7717482225010456, 0.2638238553097187, 0.4305800211883129, 0.796844621229688, 29524, 327864, 8732, 82384, 0.3558556141573232, 0.6528396476079928, 0.8356928871505143, 0.3740329633366969, 0.7690179806362379, 0.24711111111111111, 0.43083289453926865, 0.7966786845842893, 556, 6736, 167, 1694, 137.91307878494263"
8,77.9,0.642,0.821,0.929,0.723,78.0%,67.4%,0.289,87.1%,"15,410","64,302","4,358","7,462",0.646,0.825,0.931,0.726,78.1%,67.8%,0.286,87.2%,"61,878","257,508","17,331","29,408",2.9,0.994,test8.png,LightGBM,50.0%,Rapid,80.0%,N/A,Anterior,None,0.1,100,-1,N/A,N/A,N/A,N/A,N/A,GBDT,31,N/A,N/A,N/A,"0.6420909659715713, 0.8214170056489789, 0.9286808664758963, 0.7227954971857411, 0.7795426952650749, 0.6737495627841903, 0.28912195543054886, 0.8708648341563606, 15410, 64302, 4358, 7462, 0.6459555627289727, 0.824996154679976, 0.9305423894255351, 0.7258629285316285, 0.7811991061621786, 0.6778476436693469, 0.28587646620188045, 0.87234141345169, 61878, 257508, 17331, 29408, 2.8712549209594727"
9,78.0,0.645,0.822,0.929,0.725,78.4%,67.4%,0.289,87.2%,"15,470","64,308","4,262","7,492",0.656,0.831,0.933,0.733,79.1%,68.3%,0.281,87.6%,"62,320","258,480","16,449","28,876",15.2,0.982,test9.png,LightGBM,50.0%,Rapid,80.0%,N/A,Anterior,None,0.01,100,-1,N/A,N/A,N/A,N/A,N/A,GBDT,91,N/A,N/A,N/A,"0.6447149330208574, 0.8220135799213621, 0.9294413726417546, 0.7246919941912211, 0.7840056760591931, 0.673721801236826, 0.28900426894993664, 0.8715858934580256, 15470, 64308, 4262, 7492, 0.6562510804423964, 0.8312386438328139, 0.9334551546206548, 0.7333274497690702, 0.7911741928931433, 0.683363305408132, 0.2809533848858088, 0.8762034824172072, 62320, 258480, 16449, 28876, 15.209101915359497"
10,75.2,0.615,0.777,0.910,0.706,74.1%,67.4%,0.349,86.0%,"15,429","63,254","5,389","7,460",0.623,0.785,0.914,0.711,74.7%,67.9%,0.340,86.3%,"61,964","253,896","20,960","29,305",1.3,0.988,test10.png,LightGBM,50.0%,Rapid,80.0%,N/A,Anterior,None,1,3434,-1,N/A,N/A,N/A,N/A,N/A,GBDT,10,N/A,N/A,N/A,"0.6152807411372296, 0.77724667633432, 0.9100923454905866, 0.7060196307227674, 0.7411374771832069, 0.6740792520424658, 0.34887107894199565, 0.8596228641349474, 15429, 63254, 5389, 7460, 0.6228704270605806, 0.7852403315751038, 0.9142089240312556, 0.7114407582394241, 0.7472384351936713, 0.6789161708794881, 0.33988111894192535, 0.8627108228064185, 61964, 253896, 20960, 29305, 1.3078289031982422"
